id_batiment,cluster_infra,type_batiment,nb_maisons,cout_total,cout_materiel,cout_main_oeuvre,duree_totale
E000003,"{('P007113', 'aerien'): 12.1935087083631, ('P007984', 'aerien'): 30.0575979492587, ('P007823', 'aerien'): 12.290282829583}",habitation,1,31361.29895514276,27270.6947436024,4090.6042115403598,15.02879897462935
E000067,"{('P006193', 'fourreau'): 12.1863879405322, ('P002851', 'semi-aerien'): 10.8032015604234, ('P007624', 'aerien'): 4.10990474598487}",habitation,4,25338.77351865113,21125.102689788968,4213.670828862163,15.23298492566525
E000085,"{('P005500', 'aerien'): 13.1420349052071, ('P007990', 'aerien'): 18.7028610321555, ('P007447', 'fourreau'): 2.84535154473363}",hôpital,1,21405.134968881317,18483.264358941567,2921.8706099397505,9.35143051607775
E000098,"{('P005531', 'aerien'): 14.8493095953268, ('P007639', 'fourreau'): 6.13280316452202}",habitation,7,15207.776458730605,12944.177645733216,2263.5988129973884,7.666003955652525
E000106,"{('P005500', 'aerien'): 13.1420349052071, ('P007990', 'aerien'): 18.7028610321555, ('P001391', 'fourreau'): 7.63593644945982, ('P007752', 'aerien'): 3.12835142463862}",école,1,28413.698121938254,24358.966485514447,4054.7316364238077,9.544920561824775
E000107,"{('P005500', 'aerien'): 13.1420349052071, ('P007990', 'aerien'): 18.7028610321555, ('P001391', 'fourreau'): 7.63593644945982, ('P007689', 'aerien'): 5.1037127857757}",habitation,2,29549.530904592077,25346.64716608299,4202.883738509088,9.544920561824775
E000108,"{('P005500', 'aerien'): 13.1420349052071, ('P007991', 'fourreau'): 7.5088306175948, ('P007997', 'fourreau'): 30.1295771789513, ('P007476', 'fourreau'): 4.92849119929359}",habitation,6,53848.17272846975,44881.226548859275,8966.946179610475,37.66197147368913
E000109,"{('P005500', 'aerien'): 13.1420349052071, ('P007991', 'fourreau'): 7.5088306175948, ('P007997', 'fourreau'): 30.1295771789513, ('P007572', 'aerien'): 5.62700791605979}",habitation,6,51723.96810097235,43259.08842752494,8464.87967344741,37.66197147368913
E000110,"{('P005500', 'aerien'): 13.1420349052071, ('P007991', 'fourreau'): 7.5088306175948, ('P007998', 'aerien'): 37.0636340148083, ('P007554', 'fourreau'): 8.72690474251765}",habitation,3,46524.62183313115,39714.99628410891,6809.625549022239,18.53181700740415
E000111,"{('P005770', 'aerien'): 13.8935987811649, ('P007985', 'aerien'): 10.4897301634131, ('P007813', 'fourreau'): 1.36523196955369}",habitation,5,15505.10391002199,13420.373244887323,2084.730665134667,6.94679939058245
E000112,"{('P005664', 'aerien'): 12.9108403618454, ('P007448', 'aerien'): 7.9742290455672}",habitation,6,12008.914909262245,10442.5347037063,1566.380205555945,6.4554201809227
E000127,"{('P005117', 'aerien'): 13.2627025810985, ('P000873', 'aerien'): 5.46510947034025, ('P007790', 'fourreau'): 5.85611808756648}",habitation,8,17137.02034980583,14634.412304529207,2502.608045276621,7.3201476094580995
E000128,"{('P005317', 'aerien'): 11.95171127553, ('P001156', 'aerien'): 13.4887076792516, ('P007679', 'semi-aerien'): 4.5706986139249}",habitation,6,18741.86965153183,16148.233437834475,2593.636213697355,6.7443538396258
E000129,"{('P005317', 'aerien'): 11.95171127553, ('P007999', 'aerien'): 42.1144223056854, ('P007485', 'semi-aerien'): 5.64944506755882}",habitation,5,36172.52737000179,31270.150591276815,4902.376778724978,21.0572111528427
E000144,"{('P005117', 'aerien'): 13.2627025810985, ('P008002', 'fourreau'): 12.5346743139761, ('P008006', 'aerien'): 17.9528543234573, ('P007737', 'fourreau'): 4.66009795790718}",habitation,6,36648.26006579265,31083.073496972855,5565.1865688198,15.668342892470124
E000145,"{('P005117', 'aerien'): 13.2627025810985, ('P008002', 'fourreau'): 12.5346743139761, ('P008007', 'aerien'): 6.84639309859005, ('P007638', 'fourreau'): 5.10207355361142}",habitation,3,30742.693321822346,25927.620920673045,4815.072401149301,15.668342892470124
E000146,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P000644', 'aerien'): 5.79686473036686, ('P007802', 'semi-aerien'): 4.65316558492902}",habitation,2,29110.495429748353,25161.740626359577,3948.7548033887747,5.39356930430465
E000160,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008005', 'aerien'): 8.40245186934037, ('P000723', 'aerien'): 13.1599422339419, ('P000600', 'aerien'): 9.68226549663264, ('P007641', 'aerien'): 6.69156313094176}",habitation,8,43402.77725359387,37741.54543790771,5661.2318156861575,6.57997111697095
E000161,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008005', 'aerien'): 8.40245186934037, ('P008009', 'aerien'): 25.2059107325926, ('P000604', 'semi-aerien'): 4.98282106064181, ('P007580', 'fourreau'): 8.43108274854405}",habitation,2,54567.59912308203,46902.70564261687,7664.893480465161,12.6029553662963
E000174,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008005', 'aerien'): 8.40245186934037, ('P000723', 'aerien'): 13.1599422339419, ('P008008', 'aerien'): 34.1154172411379, ('P008021', 'aerien'): 14.9117118858221, ('P007785', 'aerien'): 8.13675729756796}",habitation,1,66857.06048684217,58136.574336384496,8720.486150457675,17.05770862056895
E000175,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008005', 'aerien'): 8.40245186934037, ('P000723', 'aerien'): 13.1599422339419, ('P008008', 'aerien'): 34.1154172411379, ('P008022', 'aerien'): 34.8372572653182, ('P007595', 'semi-aerien'): 10.0082136912815}",habitation,3,82643.0059561042,71537.12864580969,11105.87731029451,17.4186286326591
E000176,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008005', 'aerien'): 8.40245186934037, ('P008009', 'aerien'): 25.2059107325926, ('P008015', 'fourreau'): 34.6108377868067, ('P008023', 'semi-aerien'): 11.2796548571624, ('P007562', 'fourreau'): 10.7507961303452}",habitation,2,100396.72393581159,84862.82704175437,15533.896894057221,43.263547233508376
E000177,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008005', 'aerien'): 8.40245186934037, ('P008009', 'aerien'): 25.2059107325926, ('P008015', 'fourreau'): 34.6108377868067, ('P008024', 'fourreau'): 18.3100645954404, ('P007566', 'fourreau'): 6.60727277655205}",habitation,2,105651.14816465681,89152.9730163651,16498.17514829172,43.263547233508376
E000178,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P000750', 'fourreau'): 5.4200839327337, ('P007727', 'aerien'): 6.32141109105695}",habitation,1,48314.993790577006,41570.760291929735,6744.233498647274,8.49739495307285
E000183,"{('P005000', 'semi-aerien'): 2.71913580007238, ('P008027', 'fourreau'): 20.455789433764, ('P007530', 'aerien'): 12.7359304342272}",habitation,1,32016.05322896413,26817.527557555484,5198.525671408646,25.569736792205
E000184,"{('P005000', 'semi-aerien'): 2.71913580007238, ('P008028', 'aerien'): 36.9797725156077, ('P007593', 'semi-aerien'): 10.402928114011}",habitation,6,33073.22671914947,28331.434193366385,4741.792525783085,18.48988625780385
E000185,"{('P006106', 'aerien'): 12.8869548736554, ('P002717', 'fourreau'): 6.93113318288768, ('P007565', 'aerien'): 6.4644213871373}",habitation,1,18664.648686346154,15913.707994995262,2750.9406913508924,8.6639164786096
E000188,"{('P005915', 'semi-aerien'): 12.8261922697184, ('P002445', 'aerien'): 6.96033389014315, ('P007764', 'semi-aerien'): 4.11611330130554}",habitation,2,19250.267000753855,16186.89612333953,3063.370877414327,12.8261922697184
E000193,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008005', 'aerien'): 8.40245186934037, ('P000723', 'aerien'): 13.1599422339419, ('P008008', 'aerien'): 34.1154172411379, ('P008022', 'aerien'): 34.8372572653182, ('P008026', 'semi-aerien'): 12.0182044137484, ('P007607', 'aerien'): 7.64056605573305}",habitation,4,88845.3230883709,76864.90471552638,11980.418372844524,17.4186286326591
E000194,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814}",habitation,5,21589.449183351288,18773.43407247938,2816.0151108719074,5.39356930430465
E000195,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814}",habitation,4,21589.449183351288,18773.43407247938,2816.0151108719074,5.39356930430465
E000196,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814}",habitation,3,21589.449183351288,18773.43407247938,2816.0151108719074,5.39356930430465
E000197,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P000748', 'aerien'): 4.62412685627937, ('P007763', 'aerien'): 6.65725214040895}",habitation,4,45272.63405946715,39172.66870528509,6099.965354182058,8.49739495307285
E000198,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008014', 'semi-aerien'): 13.8302331906613, ('P007695', 'fourreau'): 4.38499382431335}",habitation,2,64240.248064644795,54669.23097442926,9571.017090215535,13.8302331906613
E000222,"{('P005820', 'aerien'): 14.5718479009645, ('P007627', 'semi-aerien'): 8.53830202306228}",habitation,6,16063.284363810639,13689.65046777896,2373.63389603168,8.53830202306228
E000225,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814}",habitation,5,21589.449183351288,18773.43407247938,2816.0151108719074,5.39356930430465
E000226,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P000744', 'aerien'): 5.56320770970003, ('P007458', 'fourreau'): 6.8843047480427}",habitation,2,49471.366982945314,42509.45733502937,6961.909647915942,8.605380935053375
E000227,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P000744', 'aerien'): 5.56320770970003, ('P007686', 'aerien'): 7.59049553958964}",habitation,2,46349.220504712925,40108.830831585765,6240.389673127158,8.49739495307285
E000228,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008011', 'semi-aerien'): 10.0806400820172, ('P007810', 'fourreau'): 0.372684471449813}",habitation,8,58114.71515467287,49648.12060280106,8466.594551871816,10.0806400820172
E000229,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008011', 'semi-aerien'): 10.0806400820172, ('P007731', 'fourreau'): 3.79968906454059}",habitation,1,61841.58264965909,52732.424736582754,9109.157913076337,10.0806400820172
E000252,"{('P005820', 'aerien'): 14.5718479009645, ('P007988', 'semi-aerien'): 17.9351395403247, ('P007698', 'aerien'): 9.47252997174691}",habitation,5,29967.14286310129,25473.543591599228,4493.59927150206,17.9351395403247
E000257,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P005193', 'fourreau'): 14.491126102841, ('P007992', 'fourreau'): 10.3986057299725, ('P007648', 'aerien'): 3.39796783687204}",habitation,1,50610.86405773739,42873.17664044755,7737.6874172898415,18.11390762855125
E000258,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814}",habitation,6,21589.449183351288,18773.43407247938,2816.0151108719074,5.39356930430465
E000259,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814}",habitation,8,21589.449183351288,18773.43407247938,2816.0151108719074,5.39356930430465
E000260,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008013', 'fourreau'): 8.28759638847956, ('P000740', 'fourreau'): 5.23566836620947, ('P007702', 'aerien'): 4.73832300241692}",habitation,7,66067.93086526977,56292.32429741191,9775.606567857858,10.35949548559945
E000266,"{('P006709', 'aerien'): 13.4212136147779, ('P008025', 'aerien'): 10.7673305164675, ('P007692', 'semi-aerien'): 9.64962873769354}",habitation,8,22593.07873939029,19331.493618892855,3261.585120497436,9.64962873769354
E000267,"{('P006457', 'fourreau'): 9.77631599620947, ('P003569', 'aerien'): 8.31138115880164, ('P007777', 'fourreau'): 8.95144561872574}",habitation,4,25145.484922552983,21010.676032842508,4134.808889710475,12.220394995261838
E000268,"{('P006457', 'fourreau'): 9.77631599620947, ('P003569', 'aerien'): 8.31138115880164, ('P007696', 'aerien'): 14.6793721892947}",habitation,6,23851.426821033194,20294.061070636693,3557.365750396501,12.220394995261838
E000274,"{('P005781', 'aerien'): 14.510677085006, ('P007539', 'aerien'): 6.64993672554073}",habitation,4,12167.35294106437,10580.306905273364,1587.0460357910047,7.255338542503
E000275,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008013', 'fourreau'): 8.28759638847956, ('P000476', 'fourreau'): 4.08484495788828, ('P000717', 'aerien'): 5.06471817304192, ('P007618', 'aerien'): 3.98512786168602}",habitation,1,67295.53615229932,57412.34474607836,9883.191406220962,10.35949548559945
E000293,"{('P006709', 'aerien'): 13.4212136147779, ('P008025', 'aerien'): 10.7673305164675, ('P003849', 'fourreau'): 4.45174541295179, ('P007713', 'aerien'): 14.7479475229988}",habitation,4,27229.755837775487,23474.81669877871,3754.939138996776,7.3739737614994
E000301,"{('P005726', 'aerien'): 13.6049409361135, ('P007994', 'aerien'): 5.03354509521443, ('P003202', 'semi-aerien'): 3.57039201834049, ('P007597', 'fourreau'): 6.31480197224767}",habitation,3,20797.82942933934,17680.358804442236,3117.470624897106,7.893502465309588
E000302,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P000730', 'fourreau'): 1.29899271965775, ('P007631', 'fourreau'): 4.7919164305287}",habitation,7,28213.312884179053,24255.252307647184,3958.060576531867,5.989895538160876
E000303,"{('P005100', 'aerien'): 6.25975675306654, ('P000732', 'aerien'): 10.7871386086093, ('P008001', 'aerien'): 9.80181343246892, ('P000719', 'aerien'): 10.698159350814, ('P008003', 'aerien'): 16.9947899061457, ('P008004', 'fourreau'): 4.2679056836056, ('P000494', 'aerien'): 4.84007013228732, ('P008010', 'fourreau'): 7.57564714734482, ('P008012', 'aerien'): 2.80432575486411, ('P008013', 'fourreau'): 8.28759638847956, ('P000476', 'fourreau'): 4.08484495788828, ('P008016', 'fourreau'): 8.04338585809972, ('P008020', 'aerien'): 11.7528304195152, ('P007567', 'aerien'): 4.70550586894857}",habitation,4,80302.60016888085,68355.637145236,11946.963023644848,10.35949548559945
E000315,"{('P005726', 'aerien'): 13.6049409361135, ('P007994', 'aerien'): 5.03354509521443, ('P007995', 'aerien'): 20.6914541519515, ('P003330', 'aerien'): 1.95148972393884, ('P007770', 'aerien'): 3.21575403753504}",habitation,4,25585.880768233154,22248.591972376656,3337.2887958564984,10.34572707597575
E000316,"{('P005726', 'aerien'): 13.6049409361135, ('P007994', 'aerien'): 5.03354509521443, ('P007995', 'aerien'): 20.6914541519515, ('P007996', 'aerien'): 9.96720012610787, ('P007662', 'aerien'): 1.45309505359909}",habitation,5,29181.385333717175,25375.117681493197,3806.2676522239794,10.34572707597575
