id_batiment,nb_maisons,infra_type,cluster_infra
E000003,1,a_remplacer,"{('P007113', 'aerien'): 12.1935087083631, ('P007984', 'aerien'): 30.0575979492587, ('P007823', 'aerien'): 12.290282829583}"
E000067,1,a_remplacer,"{('P006193', 'fourreau'): 12.1863879405322, ('P002851', 'semi-aerien'): 10.8032015604234, ('P007624', 'aerien'): 4.10990474598487}"
E000085,1,a_remplacer,"{('P005500', 'aerien'): 13.1420349052071, ('P007990', 'aerien'): 18.7028610321555, ('P007447', 'fourreau'): 2.84535154473363}"
E000098,1,a_remplacer,"{('P005531', 'aerien'): 14.8493095953268, ('P007639', 'fourreau'): 6.13280316452202}"
E000106,1,a_remplacer,"{('P005500', 'aerien'): 13.1420349052071, ('P007990', 'aerien'): 18.7028610321555, ('P001391', 'fourreau'): 7.63593644945982, ('P007752', 'aerien'): 3.12835142463862}"
E000107,1,a_remplacer,"{('P005500', 'aerien'): 13.1420349052071, ('P007990', 'aerien'): 18.7028610321555, ('P001391', 'fourreau'): 7.63593644945982, ('P007689', 'aerien'): 5.1037127857757}"
E000108,1,a_remplacer,"{('P005500', 'aerien'): 13.1420349052071, ('P007991', 'fourreau'): 7.5088306175948, ('P007997', 'fourreau'): 30.1295771789513, ('P007476', 'fourreau'): 4.92849119929359}"
E000109,1,a_remplacer,"{('P005500', 'aerien'): 13.1420349052071, ('P007991', 'fourreau'): 7.5088306175948, ('P007997', 'fourreau'): 30.1295771789513, ('P007572', 'aerien'): 5.62700791605979}"
E000110,1,a_remplacer,"{('P005500', 'aerien'): 13.1420349052071, ('P007991', 'fourreau'): 7.5088306175948, ('P007998', 'aerien'): 37.0636340148083, ('P007554', 'fourreau'): 8.72690474251765}"
E000111,1,a_remplacer,"{('P005770', 'aerien'): 13.8935987811649, ('P007985', 'aerien'): 10.4897301634131, ('P007813', 'fourreau'): 1.36523196955369}"
E000112,1,a_remplacer,"{('P005664', 'aerien'): 12.9108403618454, ('P007448', 'aerien'): 7.9742290455672}"
E000127,1,a_remplacer,"{('P005117', 'aerien'): 13.2627025810985, ('P000873', 'aerien'): 5.46510947034025, ('P007790', 'fourreau'): 5.85611808756648}"
E000128,1,a_remplacer,"{('P005317', 'aerien'): 11.95171127553, ('P001156', 'aerien'): 13.4887076792516, ('P007679', 'semi-aerien'): 4.5706986139249}"
E000129,1,a_remplacer,"{('P005317', 'aerien'): 11.95171127553, ('P007999', 'aerien'): 42.1144223056854, ('P007485', 'semi-aerien'): 5.64944506755882}"
E000144,1,a_remplacer,"{('P005117', 'aerien'): 13.2627025810985, ('P008002', 'fourreau'): 12.5346743139761, ('P008006', 'aerien'): 17.9528543234573, ('P007737', 'fourreau'): 4.66009795790718}"
E000145,1,a_remplacer,"{('P005117', 'aerien'): 13.2627025810985, ('P008002', 'fourreau'): 12.5346743139761, ('P008007', 'aerien'): 6.84639309859005, ('P007638', 'fourreau'): 5.10207355361142}"
